evals,iteration,coverage,coverage_pct,max_fitness,mean_fitness,qd_score,pg_added,pg_total,ga_added,ga_total,critic_loss,avg_q,buffer_size,iter_time,phase
100,1,18,1.76,0.1853,0.0651,1.1716,0,0,43,100,0.0000,0.0000,5000,0.48,random
200,2,26,2.54,0.1853,0.0558,1.4497,0,0,14,100,0.0000,0.0000,10000,0.45,random
300,3,34,3.32,0.2443,0.0364,1.2370,0,0,14,100,0.0000,0.0000,15000,0.45,random
400,4,38,3.71,0.2443,0.0357,1.3570,0,0,11,100,0.0000,0.0000,20000,0.54,random
500,5,39,3.81,0.2443,0.0306,1.1935,0,0,2,100,0.0000,0.0000,25000,0.45,random
600,6,82,8.01,0.2443,0.0228,1.8677,40,50,13,50,0.0002,-0.0424,30000,34.05,variation
700,7,106,10.35,0.2443,0.0241,2.5526,30,50,22,50,0.0001,-0.0260,35000,67.21,variation
800,8,119,11.62,0.2443,0.0241,2.8709,12,50,13,50,0.0001,0.0182,40000,85.12,variation
900,9,129,12.60,0.2443,0.0293,3.7853,15,50,15,50,0.0003,0.0746,45000,90.42,variation
1000,10,136,13.28,0.2443,0.0283,3.8533,5,50,10,50,0.0006,0.1163,50000,105.15,variation
1100,11,142,13.87,0.2443,0.0269,3.8143,5,50,14,50,0.0010,0.1533,55000,111.82,variation
1200,12,150,14.65,0.2443,0.0289,4.3418,8,50,13,50,0.0016,0.1981,60000,118.47,variation
1300,13,159,15.53,0.2443,0.0245,3.8993,6,50,13,50,0.0025,0.2622,65000,116.47,variation
1400,14,162,15.82,0.2443,0.0231,3.7372,6,50,7,50,0.0044,0.3454,70000,160.71,variation
1500,15,165,16.11,0.2443,0.0289,4.7699,8,50,10,50,0.0080,0.4745,75000,124.24,variation
1600,16,170,16.60,0.2443,0.0281,4.7835,6,50,10,50,0.0187,0.7178,80000,122.68,variation
1700,17,174,16.99,0.2532,0.0319,5.5480,7,50,7,50,0.0370,1.0327,85000,135.43,variation
1800,18,176,17.19,0.2532,0.0341,5.9942,3,50,9,50,0.0755,1.4675,90000,147.58,variation
1900,19,180,17.58,0.2532,0.0328,5.8980,2,50,11,50,0.1503,2.0809,95000,133.61,variation
2000,20,183,17.87,0.2532,0.0347,6.3421,5,50,8,50,0.3095,3.0200,100000,137.27,variation
2100,21,186,18.16,0.2532,0.0359,6.6772,3,50,8,50,0.7056,4.4520,105000,145.83,variation
2200,22,187,18.26,0.2532,0.0375,7.0061,1,50,8,50,1.5223,6.5853,110000,149.79,variation
2300,23,190,18.55,0.2532,0.0378,7.1899,3,50,9,50,2.7846,8.9865,115000,164.99,variation
2400,24,193,18.85,0.2532,0.0369,7.1179,2,50,8,50,4.6918,11.8818,120000,159.05,variation
2500,25,196,19.14,0.2532,0.0368,7.2164,7,50,4,50,7.8319,15.1253,125000,157.09,variation
2600,26,198,19.34,0.2532,0.0378,7.4844,4,50,2,50,12.5640,19.0714,130000,154.75,variation
2700,27,202,19.73,0.2532,0.0364,7.3545,4,50,6,50,19.7243,23.6002,135000,162.18,variation
2800,28,205,20.02,0.2532,0.0366,7.5024,1,50,7,50,29.1318,28.7532,140000,170.69,variation
2900,29,210,20.51,0.2532,0.0342,7.1719,2,50,7,50,42.0551,34.6293,145000,179.38,variation
3000,30,215,21.00,0.2532,0.0351,7.5522,2,50,5,50,61.1026,41.4194,150000,179.25,variation
3100,31,216,21.09,0.2532,0.0359,7.7507,3,50,5,50,87.9468,48.9039,155000,181.18,variation
3200,32,220,21.48,0.2532,0.0350,7.7046,3,50,9,50,118.6787,57.3077,160000,187.76,variation
3300,33,221,21.58,0.2532,0.0355,7.8420,2,50,3,50,153.0603,67.9289,165000,191.36,variation
3400,34,222,21.68,0.2532,0.0355,7.8846,2,50,2,50,227.8937,80.0372,170000,195.59,variation
3500,35,223,21.78,0.2732,0.0374,8.3309,0,50,4,50,312.3360,92.4480,175000,198.11,variation
3600,36,223,21.78,0.2732,0.0381,8.4857,1,50,4,50,395.7436,106.1183,180000,230.95,variation
3700,37,227,22.17,0.2732,0.0379,8.6061,1,50,6,50,529.8361,122.6835,185000,201.09,variation
3800,38,228,22.27,0.2732,0.0385,8.7767,3,50,4,50,772.3362,141.1452,190000,209.26,variation
